customerID,gender,SeniorCitizen,Dependents,tenure,PhoneService,MultipleLines,OnlineBackup,DeviceProtection,TechSupport,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,TotalCharges,Churn,ChurnFlag,CustomerStatus,TenureBand,RiskScore,RiskSegment,EstMonthlyValue,RevenueAtRisk
5129-JLPIS,Male,0,No,25,Yes,No,No,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,2686.05,No,0,Retained,25-48 months,7,High Risk,107.44200000000001,0.0
3655-SNQYZ,Female,0,Yes,69,Yes,Yes,Yes,Yes,Yes,Yes,Two year,No,Credit card (automatic),7895.15,No,0,Retained,49+ months (Loyal),0,Low Risk,114.42246376811593,0.0
8191-XWSZG,Female,0,No,52,Yes,No,No internet service,No internet service,No internet service,No internet service,One year,No,Mailed check,1022.95,No,0,Retained,49+ months (Loyal),2,Low Risk,19.672115384615385,0.0
9959-WOFKT,Male,0,Yes,71,Yes,Yes,No,Yes,No,Yes,Two year,No,Bank transfer (automatic),7382.25,No,0,Retained,49+ months (Loyal),2,Low Risk,103.97535211267606,0.0
4190-MFLUW,Female,0,Yes,10,Yes,No,No,Yes,Yes,No,Month-to-month,No,Credit card (automatic),528.35,Yes,1,Churned,0-12 months (New),5,Medium Risk,52.835,52.835
4183-MYFRB,Female,0,No,21,Yes,No,Yes,Yes,No,Yes,Month-to-month,Yes,Electronic check,1862.9,No,0,Retained,13-24 months,10,High Risk,88.70952380952382,0.0
8779-QRDMV,Male,1,No,1,No,No phone service,No,Yes,No,Yes,Month-to-month,Yes,Electronic check,39.65,Yes,1,Churned,0-12 months (New),11,High Risk,39.65,39.65
1680-VDCWW,Male,0,No,12,Yes,No,No internet service,No internet service,No internet service,No internet service,One year,No,Bank transfer (automatic),202.25,No,0,Retained,0-12 months (New),4,Medium Risk,16.854166666666668,0.0
1066-JKSGK,Male,0,No,1,Yes,No,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,20.15,Yes,1,Churned,0-12 months (New),6,Medium Risk,20.15,20.15
3638-WEABW,Female,0,No,58,Yes,Yes,Yes,No,Yes,No,Two year,Yes,Credit card (automatic),3505.1,No,0,Retained,49+ months (Loyal),2,Low Risk,60.432758620689654,0.0
6322-HRPFA,Male,0,Yes,49,Yes,No,Yes,No,Yes,No,Month-to-month,No,Credit card (automatic),2970.3,No,0,Retained,49+ months (Loyal),3,Low Risk,60.61836734693878,0.0
6865-JZNKO,Female,0,No,30,Yes,No,Yes,No,No,No,Month-to-month,Yes,Bank transfer (automatic),1530.6,No,0,Retained,25-48 months,7,High Risk,51.019999999999996,0.0
6467-CHFZW,Male,0,Yes,47,Yes,Yes,Yes,No,No,Yes,Month-to-month,Yes,Electronic check,4749.15,Yes,1,Churned,25-48 months,8,High Risk,101.04574468085106,101.04574468085106
8665-UTDHZ,Male,0,Yes,1,No,No phone service,Yes,No,No,No,Month-to-month,No,Electronic check,30.2,Yes,1,Churned,0-12 months (New),9,High Risk,30.2,30.2
5248-YGIJN,Male,0,No,72,Yes,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Credit card (automatic),6369.45,No,0,Retained,49+ months (Loyal),2,Low Risk,88.46458333333334,0.0
8773-HHUOZ,Female,0,Yes,17,Yes,No,No,No,No,Yes,Month-to-month,Yes,Mailed check,1093.1,Yes,1,Churned,13-24 months,7,High Risk,64.3,64.3
3841-NFECX,Female,1,No,71,Yes,Yes,Yes,Yes,Yes,No,Two year,Yes,Credit card (automatic),6766.95,No,0,Retained,49+ months (Loyal),2,Low Risk,95.30915492957746,0.0
4929-XIHVW,Male,1,No,2,Yes,No,No,Yes,No,Yes,Month-to-month,Yes,Credit card (automatic),181.65,No,0,Retained,0-12 months (New),9,High Risk,90.825,0.0
6827-IEAUQ,Female,0,Yes,27,Yes,No,Yes,Yes,Yes,No,One year,No,Mailed check,1874.45,No,0,Retained,25-48 months,1,Low Risk,69.42407407407407,0.0
7310-EGVHZ,Male,0,No,1,Yes,No,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Bank transfer (automatic),20.2,No,0,Retained,0-12 months (New),6,Medium Risk,20.2,0.0
3413-BMNZE,Male,1,No,1,Yes,No,No,No,No,No,Month-to-month,No,Bank transfer (automatic),45.25,No,0,Retained,0-12 months (New),8,High Risk,45.25,0.0
6234-RAAPL,Female,0,Yes,72,Yes,Yes,Yes,No,Yes,No,Two year,No,Bank transfer (automatic),7251.7,No,0,Retained,49+ months (Loyal),0,Low Risk,100.71805555555555,0.0
6047-YHPVI,Male,0,No,5,Yes,No,No,No,No,No,Month-to-month,Yes,Electronic check,316.9,Yes,1,Churned,0-12 months (New),11,High Risk,63.379999999999995,63.379999999999995
6572-ADKRS,Female,0,No,46,Yes,No,No,Yes,No,No,Month-to-month,Yes,Credit card (automatic),3548.3,No,0,Retained,25-48 months,7,High Risk,77.13695652173914,0.0
5380-WJKOV,Male,0,No,34,Yes,Yes,Yes,Yes,No,Yes,Month-to-month,Yes,Electronic check,3549.25,Yes,1,Churned,25-48 months,9,High Risk,104.38970588235294,104.38970588235294
8168-UQWWF,Female,0,No,11,Yes,Yes,No,Yes,No,Yes,Month-to-month,Yes,Bank transfer (automatic),1105.4,Yes,1,Churned,0-12 months (New),9,High Risk,100.4909090909091,100.4909090909091
8865-TNMNX,Male,0,Yes,10,Yes,No,Yes,No,No,No,One year,No,Mailed check,475.7,No,0,Retained,0-12 months (New),5,Medium Risk,47.57,0.0
9489-DEDVP,Female,0,Yes,70,Yes,Yes,Yes,No,No,No,Two year,Yes,Credit card (automatic),4872.35,No,0,Retained,49+ months (Loyal),3,Low Risk,69.605,0.0
9867-JCZSP,Female,0,Yes,17,Yes,No,No internet service,No internet service,No internet service,No internet service,One year,No,Mailed check,418.25,No,0,Retained,13-24 months,2,Low Risk,24.602941176470587,0.0
4671-VJLCL,Female,0,No,63,Yes,Yes,Yes,Yes,Yes,No,Two year,Yes,Credit card (automatic),4861.45,No,0,Retained,49+ months (Loyal),2,Low Risk,77.16587301587302,0.0
4080-IIARD,Female,0,No,13,Yes,Yes,Yes,No,Yes,No,Month-to-month,Yes,Electronic check,981.45,No,0,Retained,13-24 months,8,High Risk,75.49615384615385,0.0
3714-NTNFO,Female,0,No,49,Yes,Yes,No,No,No,Yes,Month-to-month,Yes,Electronic check,3906.7,No,0,Retained,49+ months (Loyal),9,High Risk,79.72857142857143,0.0
5948-UJZLF,Male,0,No,2,Yes,No,Yes,No,No,No,Month-to-month,No,Mailed check,97.0,No,0,Retained,0-12 months (New),8,High Risk,48.5,0.0
7760-OYPDY,Female,0,No,2,Yes,No,No,No,No,No,Month-to-month,Yes,Electronic check,144.15,Yes,1,Churned,0-12 months (New),11,High Risk,72.075,72.075
7639-LIAYI,Male,0,No,52,Yes,Yes,No,No,Yes,Yes,Two year,Yes,Credit card (automatic),4217.8,No,0,Retained,49+ months (Loyal),2,Low Risk,81.11153846153846,0.0
2954-PIBKO,Female,0,Yes,69,Yes,Yes,No,Yes,Yes,No,Two year,Yes,Credit card (automatic),4254.1,No,0,Retained,49+ months (Loyal),1,Low Risk,61.6536231884058,0.0
8012-SOUDQ,Female,1,No,43,Yes,Yes,Yes,No,No,No,Month-to-month,Yes,Electronic check,3838.75,No,0,Retained,25-48 months,9,High Risk,89.27325581395348,0.0
9420-LOJKX,Female,0,No,15,Yes,No,Yes,No,No,Yes,Month-to-month,Yes,Credit card (automatic),1426.4,Yes,1,Churned,13-24 months,8,High Risk,95.09333333333333,95.09333333333333
6575-SUVOI,Female,1,No,25,Yes,Yes,No,No,Yes,No,Month-to-month,Yes,Credit card (automatic),1752.65,No,0,Retained,25-48 months,5,Medium Risk,70.10600000000001,0.0
7495-OOKFY,Female,1,No,8,Yes,Yes,Yes,No,No,No,Month-to-month,Yes,Credit card (automatic),633.3,Yes,1,Churned,0-12 months (New),9,High Risk,79.1625,79.1625
4667-QONEA,Female,1,Yes,60,Yes,No,Yes,Yes,Yes,Yes,One year,Yes,Credit card (automatic),4456.35,No,0,Retained,49+ months (Loyal),2,Low Risk,74.27250000000001,0.0
1658-BYGOY,Male,1,No,18,Yes,Yes,No,No,No,Yes,Month-to-month,Yes,Electronic check,1752.55,Yes,1,Churned,13-24 months,10,High Risk,97.36388888888888,97.36388888888888
8769-KKTPH,Female,0,Yes,63,Yes,Yes,No,No,No,Yes,One year,Yes,Credit card (automatic),6311.2,No,0,Retained,49+ months (Loyal),4,Medium Risk,100.17777777777778,0.0
5067-XJQFU,Male,1,Yes,66,Yes,Yes,Yes,Yes,Yes,Yes,One year,Yes,Electronic check,7076.35,No,0,Retained,49+ months (Loyal),4,Medium Risk,107.21742424242424,0.0
3957-SQXML,Female,0,Yes,34,Yes,Yes,No internet service,No internet service,No internet service,No internet service,Two year,No,Credit card (automatic),894.3,No,0,Retained,25-48 months,0,Low Risk,26.302941176470586,0.0
5954-BDFSG,Female,0,No,72,Yes,Yes,No,Yes,Yes,Yes,Two year,Yes,Credit card (automatic),7853.7,No,0,Retained,49+ months (Loyal),2,Low Risk,109.07916666666667,0.0
0434-CSFON,Female,0,No,47,Yes,Yes,No,Yes,No,Yes,Month-to-month,Yes,Electronic check,4707.1,No,0,Retained,25-48 months,9,High Risk,100.15106382978725,0.0
1215-FIGMP,Male,0,No,60,Yes,Yes,Yes,No,No,No,Month-to-month,Yes,Bank transfer (automatic),5450.7,No,0,Retained,49+ months (Loyal),7,High Risk,90.845,0.0
0526-SXDJP,Male,0,No,72,No,No phone service,Yes,Yes,No,No,Two year,No,Bank transfer (automatic),2962.0,No,0,Retained,49+ months (Loyal),3,Low Risk,41.138888888888886,0.0
0557-ASKVU,Female,0,Yes,18,Yes,No,No,Yes,Yes,No,One year,Yes,Credit card (automatic),957.1,No,0,Retained,13-24 months,3,Low Risk,53.172222222222224,0.0
5698-BQJOH,Female,0,No,9,Yes,Yes,No,No,No,Yes,Month-to-month,No,Electronic check,857.25,Yes,1,Churned,0-12 months (New),10,High Risk,95.25,95.25
5122-CYFXA,Female,0,No,3,Yes,No,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,244.1,No,0,Retained,0-12 months (New),9,High Risk,81.36666666666666,0.0
8627-ZYGSZ,Male,0,No,47,Yes,Yes,Yes,No,No,No,One year,Yes,Electronic check,3650.35,No,0,Retained,25-48 months,7,High Risk,77.66702127659575,0.0
3410-YOQBQ,Female,0,No,31,Yes,No,Yes,Yes,Yes,Yes,Two year,No,Mailed check,2497.2,No,0,Retained,25-48 months,1,Low Risk,80.55483870967741,0.0
3170-NMYVV,Female,0,Yes,50,Yes,No,No internet service,No internet service,No internet service,No internet service,Two year,No,Bank transfer (automatic),930.9,No,0,Retained,49+ months (Loyal),0,Low Risk,18.618,0.0
7410-OIEDU,Male,0,No,10,Yes,No,No,Yes,No,No,Month-to-month,Yes,Mailed check,887.35,No,0,Retained,0-12 months (New),9,High Risk,88.735,0.0
2273-QCKXA,Male,0,No,1,Yes,No,No,No,Yes,No,Month-to-month,No,Mailed check,49.05,No,0,Retained,0-12 months (New),6,Medium Risk,49.05,0.0
0731-EBJQB,Female,0,Yes,52,Yes,No,No internet service,No internet service,No internet service,No internet service,One year,Yes,Electronic check,1090.65,No,0,Retained,49+ months (Loyal),4,Medium Risk,20.974038461538463,0.0
1891-QRQSA,Male,1,Yes,64,Yes,Yes,No,Yes,Yes,Yes,Two year,Yes,Bank transfer (automatic),7099.0,No,0,Retained,49+ months (Loyal),1,Low Risk,110.921875,0.0
8028-PNXHQ,Male,0,Yes,62,Yes,Yes,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Bank transfer (automatic),1424.6,No,0,Retained,49+ months (Loyal),1,Low Risk,22.97741935483871,0.0
5630-AHZIL,Female,0,Yes,3,Yes,No,No,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),177.4,No,0,Retained,0-12 months (New),6,Medium Risk,59.13333333333333,0.0
2673-CXQEU,Female,1,No,56,Yes,Yes,Yes,Yes,No,Yes,One year,No,Electronic check,6139.5,No,0,Retained,49+ months (Loyal),6,Medium Risk,109.63392857142857,0.0
6416-JNVRK,Female,0,No,46,Yes,No,No,No,No,Yes,One year,No,Credit card (automatic),2688.85,No,0,Retained,25-48 months,4,Medium Risk,58.45326086956521,0.0
5590-ZSKRV,Female,0,Yes,8,Yes,No,Yes,No,No,No,Month-to-month,No,Mailed check,482.25,No,0,Retained,0-12 months (New),7,High Risk,60.28125,0.0
0191-ZHSKZ,Male,1,No,30,Yes,No,Yes,No,No,Yes,Month-to-month,Yes,Electronic check,2111.3,No,0,Retained,25-48 months,9,High Risk,70.37666666666668,0.0
3887-PBQAO,Female,0,Yes,45,Yes,Yes,No internet service,No internet service,No internet service,No internet service,One year,Yes,Credit card (automatic),1216.6,No,0,Retained,25-48 months,2,Low Risk,27.035555555555554,0.0
5919-TMRGD,Female,0,Yes,1,Yes,No,No,No,No,No,Month-to-month,Yes,Electronic check,79.35,Yes,1,Churned,0-12 months (New),10,High Risk,79.35,79.35
8108-UXRQN,Female,0,Yes,11,No,No phone service,No,No,No,Yes,Month-to-month,No,Electronic check,565.35,No,0,Retained,0-12 months (New),9,High Risk,51.39545454545455,0.0
9191-MYQKX,Female,0,No,7,Yes,No,No,Yes,No,No,Month-to-month,Yes,Bank transfer (automatic),496.9,Yes,1,Churned,0-12 months (New),9,High Risk,70.98571428571428,70.98571428571428
9919-YLNNG,Female,0,No,42,Yes,No,Yes,Yes,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),4327.5,No,0,Retained,25-48 months,5,Medium Risk,103.03571428571429,0.0
0318-ZOPWS,Female,0,No,49,Yes,No,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Bank transfer (automatic),973.35,No,0,Retained,49+ months (Loyal),2,Low Risk,19.864285714285714,0.0
4445-ZJNMU,Male,0,No,9,Yes,Yes,Yes,No,No,Yes,Month-to-month,Yes,Credit card (automatic),918.75,No,0,Retained,0-12 months (New),9,High Risk,102.08333333333333,0.0
4808-YNLEU,Female,0,No,35,Yes,No,No,No,No,No,One year,Yes,Bank transfer (automatic),2215.45,No,0,Retained,25-48 months,5,Medium Risk,63.29857142857142,0.0
1862-QRWPE,Female,0,Yes,48,Yes,No,No internet service,No internet service,No internet service,No internet service,Two year,No,Bank transfer (automatic),1057.0,No,0,Retained,25-48 months,0,Low Risk,22.020833333333332,0.0
2796-NNUFI,Female,0,Yes,46,Yes,No,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Mailed check,927.1,No,0,Retained,25-48 months,1,Low Risk,20.15434782608696,0.0
3016-KSVCP,Male,0,No,29,No,No phone service,No,No,No,No,Month-to-month,No,Mailed check,1009.25,No,0,Retained,25-48 months,6,Medium Risk,34.80172413793103,0.0
4767-HZZHQ,Male,0,Yes,30,Yes,No,Yes,Yes,No,No,Month-to-month,No,Bank transfer (automatic),2570.2,No,0,Retained,25-48 months,5,Medium Risk,85.67333333333333,0.0
2424-WVHPL,Male,1,No,1,Yes,No,No,No,Yes,No,Month-to-month,No,Electronic check,74.7,No,0,Retained,0-12 months (New),8,High Risk,74.7,0.0
7233-PAHHL,Male,0,Yes,66,Yes,Yes,No,Yes,Yes,Yes,Two year,Yes,Mailed check,5714.25,No,0,Retained,49+ months (Loyal),1,Low Risk,86.57954545454545,0.0
6067-NGCEU,Female,0,No,65,Yes,Yes,Yes,Yes,No,Yes,Month-to-month,Yes,Credit card (automatic),7107.0,No,0,Retained,49+ months (Loyal),7,High Risk,109.33846153846154,0.0
9848-JQJTX,Male,0,No,72,Yes,Yes,Yes,Yes,No,Yes,Two year,Yes,Bank transfer (automatic),7459.05,No,0,Retained,49+ months (Loyal),4,Medium Risk,103.59791666666666,0.0
8637-XJIVR,Female,0,No,12,Yes,Yes,No,No,No,No,Month-to-month,Yes,Electronic check,927.35,Yes,1,Churned,0-12 months (New),11,High Risk,77.27916666666667,77.27916666666667
9803-FTJCG,Male,0,Yes,71,Yes,Yes,Yes,No,Yes,No,One year,Yes,Credit card (automatic),4748.7,No,0,Retained,49+ months (Loyal),2,Low Risk,66.8830985915493,0.0
0278-YXOOG,Male,0,No,5,Yes,No,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,113.85,Yes,1,Churned,0-12 months (New),6,Medium Risk,22.77,22.77
3212-KXOCR,Male,0,No,52,Yes,No,No internet service,No internet service,No internet service,No internet service,Two year,No,Bank transfer (automatic),1107.2,No,0,Retained,49+ months (Loyal),1,Low Risk,21.292307692307695,0.0
4598-XLKNJ,Female,1,No,25,Yes,No,Yes,Yes,No,Yes,Month-to-month,Yes,Electronic check,2514.5,Yes,1,Churned,25-48 months,9,High Risk,100.58,100.58
6380-ARCEH,Male,0,No,1,Yes,No,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,20.2,No,0,Retained,0-12 months (New),6,Medium Risk,20.2,0.0
3679-XASPY,Female,0,Yes,1,Yes,No,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,19.45,No,0,Retained,0-12 months (New),7,High Risk,19.45,0.0
7123-WQUHX,Male,0,No,38,Yes,Yes,No,Yes,Yes,No,One year,No,Bank transfer (automatic),3605.6,No,0,Retained,25-48 months,2,Low Risk,94.88421052631578,0.0
5386-THSLQ,Female,1,No,66,No,No phone service,Yes,Yes,No,No,One year,No,Bank transfer (automatic),3027.25,No,0,Retained,49+ months (Loyal),4,Medium Risk,45.86742424242424,0.0
3192-NQECA,Male,0,No,68,Yes,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Bank transfer (automatic),7611.85,Yes,1,Churned,49+ months (Loyal),2,Low Risk,111.93897058823529,111.93897058823529
6180-YBIQI,Male,0,No,5,No,No phone service,No,No,No,No,Month-to-month,No,Mailed check,100.2,No,0,Retained,0-12 months (New),8,High Risk,20.04,0.0
6728-DKUCO,Female,0,Yes,72,Yes,Yes,Yes,No,No,Yes,One year,Yes,Electronic check,7303.05,No,0,Retained,49+ months (Loyal),6,Medium Risk,101.43125,0.0
9750-BOOHV,Female,0,No,32,No,No phone service,No,No,No,No,One year,No,Mailed check,927.65,No,0,Retained,25-48 months,4,Medium Risk,28.9890625,0.0
8597-CWYHH,Male,0,No,43,Yes,Yes,No,No,No,Yes,One year,No,Mailed check,3921.3,No,0,Retained,25-48 months,4,Medium Risk,91.19302325581396,0.0
2848-YXSMW,Male,0,Yes,72,Yes,No,No internet service,No internet service,No internet service,No internet service,Two year,No,Credit card (automatic),1363.25,No,0,Retained,49+ months (Loyal),0,Low Risk,18.93402777777778,0.0
0486-HECZI,Male,0,No,55,Yes,Yes,Yes,No,No,No,Month-to-month,Yes,Electronic check,5238.9,Yes,1,Churned,49+ months (Loyal),9,High Risk,95.25272727272727,95.25272727272727
4549-ZDQYY,Female,0,No,52,Yes,No,No,Yes,Yes,No,One year,No,Credit card (automatic),3042.25,No,0,Retained,49+ months (Loyal),2,Low Risk,58.50480769230769,0.0
5712-AHQNN,Female,0,No,43,Yes,No,Yes,Yes,No,No,Month-to-month,Yes,Electronic check,3954.1,No,0,Retained,25-48 months,9,High Risk,91.95581395348837,0.0
4846-WHAFZ,Female,1,No,37,Yes,Yes,No,No,No,No,Month-to-month,Yes,Electronic check,2868.15,Yes,1,Churned,25-48 months,9,High Risk,77.51756756756757,77.51756756756757
5256-SKJGO,Female,0,Yes,64,No,No phone service,Yes,No,Yes,Yes,Two year,Yes,Electronic check,3423.5,No,0,Retained,49+ months (Loyal),3,Low Risk,53.4921875,0.0
3071-VBYPO,Male,0,Yes,3,Yes,No,Yes,No,No,No,Month-to-month,No,Electronic check,248.4,No,0,Retained,0-12 months (New),9,High Risk,82.8,0.0
9560-BBZXK,Female,0,No,36,No,No phone service,No,No,No,No,Two year,No,Bank transfer (automatic),1126.35,No,0,Retained,25-48 months,3,Low Risk,31.287499999999998,0.0
5299-RULOA,Female,0,Yes,10,Yes,Yes,No,No,No,Yes,Month-to-month,Yes,Electronic check,1064.65,Yes,1,Churned,0-12 months (New),10,High Risk,106.465,106.465
8402-OOOHJ,Female,0,No,41,Yes,No,No internet service,No internet service,No internet service,No internet service,Two year,No,Mailed check,835.15,No,0,Retained,25-48 months,1,Low Risk,20.36951219512195,0.0
9445-ZUEQE,Male,0,Yes,27,Yes,Yes,Yes,No,Yes,No,Month-to-month,Yes,Credit card (automatic),2151.6,No,0,Retained,25-48 months,4,Medium Risk,79.68888888888888,0.0
1091-SOZGA,Female,0,Yes,56,Yes,Yes,No,Yes,No,Yes,One year,Yes,Credit card (automatic),5515.45,No,0,Retained,49+ months (Loyal),4,Medium Risk,98.49017857142857,0.0
2928-HLDBA,Female,0,No,6,Yes,No,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,112.75,No,0,Retained,0-12 months (New),6,Medium Risk,18.791666666666668,0.0
0404-SWRVG,Male,0,No,3,Yes,Yes,No,No,No,No,Month-to-month,Yes,Electronic check,229.55,Yes,1,Churned,0-12 months (New),11,High Risk,76.51666666666667,76.51666666666667
6497-TILVL,Female,0,Yes,7,Yes,No,No,No,No,No,Month-to-month,No,Mailed check,350.35,No,0,Retained,0-12 months (New),7,High Risk,50.050000000000004,0.0
7219-TLZHO,Female,0,Yes,4,Yes,No,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,62.9,No,0,Retained,0-12 months (New),5,Medium Risk,15.725,0.0
4622-YNKIJ,Male,0,No,33,Yes,No,No,No,Yes,No,Two year,Yes,Electronic check,3027.65,No,0,Retained,25-48 months,4,Medium Risk,91.7469696969697,0.0
4412-YLTKF,Female,1,No,27,Yes,Yes,No,Yes,No,No,Month-to-month,Yes,Electronic check,2135.5,Yes,1,Churned,25-48 months,9,High Risk,79.0925925925926,79.0925925925926
6734-PSBAW,Male,0,No,72,Yes,Yes,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Bank transfer (automatic),1723.95,No,0,Retained,49+ months (Loyal),2,Low Risk,23.94375,0.0
3930-ZGWVE,Male,0,No,1,Yes,No,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,19.75,No,0,Retained,0-12 months (New),6,Medium Risk,19.75,0.0
2639-UGMAZ,Male,1,No,71,No,No phone service,Yes,No,No,Yes,One year,Yes,Electronic check,3985.35,No,0,Retained,49+ months (Loyal),7,High Risk,56.131690140845066,0.0
2876-GZYZC,Female,0,No,13,Yes,Yes,No,No,No,Yes,Month-to-month,Yes,Electronic check,1215.65,No,0,Retained,13-24 months,10,High Risk,93.51153846153846,0.0
6207-WIOLX,Female,0,Yes,25,No,No phone service,Yes,Yes,No,Yes,Month-to-month,Yes,Credit card (automatic),1502.65,Yes,1,Churned,25-48 months,6,Medium Risk,60.106,60.106
8587-XYZSF,Male,0,No,67,Yes,No,No,No,Yes,No,Two year,No,Bank transfer (automatic),3260.1,No,0,Retained,49+ months (Loyal),1,Low Risk,48.65820895522388,0.0
3091-FYHKI,Male,0,No,1,No,No phone service,No,No,No,Yes,Month-to-month,Yes,Electronic check,35.45,Yes,1,Churned,0-12 months (New),11,High Risk,35.45,35.45
2372-HWUHI,Male,0,No,2,Yes,No,No,No,No,No,Month-to-month,No,Electronic check,81.25,Yes,1,Churned,0-12 months (New),10,High Risk,40.625,40.625
7799-LGRDP,Female,0,No,43,Yes,Yes,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Credit card (automatic),1188.2,No,0,Retained,25-48 months,2,Low Risk,27.632558139534886,0.0
7850-VWJUU,Female,0,No,23,Yes,No,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),1778.5,No,0,Retained,13-24 months,8,High Risk,77.32608695652173,0.0
3774-VBNXY,Female,0,Yes,64,Yes,No,No internet service,No internet service,No internet service,No internet service,Two year,No,Mailed check,1277.75,No,0,Retained,49+ months (Loyal),0,Low Risk,19.96484375,0.0
6217-KDYWC,Male,0,Yes,57,Yes,No,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Mailed check,1170.55,No,0,Retained,49+ months (Loyal),1,Low Risk,20.5359649122807,0.0
0390-DCFDQ,Female,1,No,1,Yes,No,No,No,No,No,Month-to-month,Yes,Mailed check,70.45,Yes,1,Churned,0-12 months (New),9,High Risk,70.45,70.45
3146-MSEGF,Female,1,Yes,72,Yes,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Credit card (automatic),6425.65,No,0,Retained,49+ months (Loyal),1,Low Risk,89.24513888888889,0.0
4080-OGPJL,Female,0,No,8,Yes,Yes,No,No,Yes,Yes,Month-to-month,No,Electronic check,563.65,Yes,1,Churned,0-12 months (New),8,High Risk,70.45625,70.45625
1095-WGNGG,Female,0,No,61,Yes,Yes,Yes,No,No,Yes,Two year,Yes,Bank transfer (automatic),5971.25,No,0,Retained,49+ months (Loyal),4,Medium Risk,97.88934426229508,0.0
